Training started: 1000 episodes, 4 threads
Thread 1: Episode 100, Best food: 24
Thread 3: Episode 100, Best food: 20
Thread 2: Episode 100, Best food: 31
Thread 0: Episode 100, Best food: 28
Thread 2: Episode 200, Best food: 56
Thread 1: Episode 200, Best food: 39
Thread 3: Episode 200, Best food: 42
Thread 0: Episode 200, Best food: 53
Thread 1: Episode 300, Best food: 57
Thread 2: Episode 300, Best food: 71
Thread 3: Episode 300, Best food: 65
Thread 0: Episode 300, Best food: 72
Thread 2: Episode 400, Best food: 87
Thread 1: Episode 400, Best food: 76
Thread 3: Episode 400, Best food: 78
Thread 0: Episode 400, Best food: 91
Thread 1: Episode 500, Best food: 94
Thread 2: Episode 500, Best food: 97
Thread 3: Episode 500, Best food: 101
Thread 0: Episode 500, Best food: 102
Thread 1: Episode 600, Best food: 114
Thread 2: Episode 600, Best food: 115
Thread 3: Episode 600, Best food: 118
Thread 0: Episode 600, Best food: 119
Thread 1: Episode 700, Best food: 131
Thread 2: Episode 700, Best food: 128
Thread 0: Episode 700, Best food: 137
Thread 3: Episode 700, Best food: 129
Thread 1: Episode 800, Best food: 148
Thread 2: Episode 800, Best food: 133
Thread 3: Episode 800, Best food: 145
Thread 0: Episode 800, Best food: 159
Thread 2: Episode 900, Best food: 149
Thread 1: Episode 900, Best food: 166
Thread 3: Episode 900, Best food: 155
Thread 0: Episode 900, Best food: 171
Thread 1: Episode 1000, Best food: 181
Thread 2: Episode 1000, Best food: 162
Thread 0: Episode 1000, Best food: 190
Thread 3: Episode 1000, Best food: 166
